Ledurrents,rstarPerSecond,ndf_4_4,ndf_3_4,ndf_2_4,ndf_1_4,ndf_5x0_4,ndf_5x0_3
10,39731119.48,0.07,0.48,8.89,111.98,953.08,19912.73
11,53443919.17,0.1,0.64,11.96,150.63,1282.03,26785.41
12,71337394.32,0.13,0.86,15.97,201.06,1711.26,35753.39
13,92554058.86,0.16,1.11,20.72,260.85,2220.22,46386.91
14,113281608.28,0.2,1.36,25.36,319.27,2717.44,56775.3
15,131367166.46,0.23,1.58,29.41,370.24,3151.28,65839.55
16,154719800.17,0.28,1.86,34.64,436.06,3711.47,77543.59
17,173706371.74,0.31,2.09,38.89,489.57,4166.93,87059.42
18,192911505.58,0.34,2.32,43.19,543.7,4627.62,96684.78
19,211976521.92,0.38,2.55,47.46,597.43,5084.96,106239.93
20,229775241.53,0.41,2.76,51.44,647.59,5511.92,115160.42
21,247335462.71,0.44,2.97,55.37,697.09,5933.16,123961.38
22,267679991.27,0.48,3.22,59.93,754.42,6421.2,134157.79
23,285199338.47,0.51,3.43,63.85,803.8,6841.46,142938.27
24,301971711.89,0.54,3.63,67.6,851.07,7243.8,151344.37
25,318779676.34,0.57,3.83,71.37,898.44,7646.99,159768.3
26,340080772.38,0.6,4.09,76.13,958.48,8157.97,170444.14
27,361122379.77,0.64,4.34,80.85,1017.78,8662.72,180989.93
28,380719605.95,0.68,4.58,85.23,1073.01,9132.83,190811.81
29,400896053.48,0.71,4.82,89.75,1129.88,9616.83,200923.98
30,417369957.99,0.74,5.02,93.44,1176.31,10012.01,209180.49
31,432851767.57,0.77,5.2,96.9,1219.94,10383.39,216939.78
32,449922973.65,0.8,5.41,100.73,1268.06,10792.9,225495.65
33,465860861.78,0.83,5.6,104.29,1312.97,11175.22,233483.52
34,482498060.4,0.86,5.8,108.02,1359.86,11574.32,241821.87
35,499245991.48,0.89,6,111.77,1407.07,11976.08,250215.72
36,520167018.38,0.93,6.25,116.45,1466.03,12477.94,260701.07
37,536515723.22,0.95,6.45,120.11,1512.11,12870.12,268894.83
38,553934544.94,0.99,6.66,124.01,1561.2,13287.96,277624.92
39,570683144.61,1.01,6.86,127.76,1608.4,13689.74,286019.11
40,586288356.54,1.04,7.05,131.25,1652.39,14064.08,293840.24
41,600303097.1,1.07,7.22,134.39,1691.88,14400.27,300864.25
42,617955401.4,1.1,7.43,138.34,1741.63,14823.72,309711.36
43,633282237.43,1.13,7.61,141.77,1784.83,15191.38,317392.97
44,647777169.36,1.15,7.79,145.02,1825.68,15539.09,324657.65
45,664559522.21,1.18,7.99,148.78,1872.98,15941.67,333068.75
46,678821479.53,1.21,8.16,151.97,1913.18,16283.79,340216.66
47,694615153.37,1.24,8.35,155.5,1957.69,16662.66,348132.25
48,709922997.69,1.26,8.54,158.93,2000.83,17029.87,355804.34
49,728176750.25,1.29,8.75,163.02,2052.28,17467.74,364952.89
50,742659786.12,1.32,8.93,166.26,2093.1,17815.17,372211.6
51,757096233.31,1.35,9.1,169.49,2133.79,18161.47,379446.97
52,774681225.6,1.38,9.31,173.43,2183.35,18583.31,388260.34
53,788247608.55,1.4,9.48,176.47,2221.58,18908.74,395059.64
54,802720380.29,1.43,9.65,179.71,2262.37,19255.92,402313.21
55,817736209.44,1.45,9.83,183.07,2304.69,19616.13,409838.95
56,831246129.76,1.48,9.99,186.09,2342.77,19940.21,416609.95
57,843696677.38,1.5,10.14,188.88,2377.86,20238.87,422850
58,857867623.19,1.53,10.31,192.05,2417.8,20578.81,429952.3
59,873561025.03,1.55,10.5,195.57,2462.03,20955.27,437817.63
60,889334677.1,1.58,10.69,199.1,2506.49,21333.65,445723.19
61,902410725.13,1.6,10.85,202.02,2543.34,21647.33,452276.73
62,919049643.03,1.63,11.05,205.75,2590.23,22046.47,460615.95
63,932251892.6,1.66,11.21,208.71,2627.44,22363.17,467232.75
64,946663389.72,1.68,11.38,211.93,2668.06,22708.87,474455.61
65,961318947.97,1.71,11.56,215.21,2709.36,23060.44,481800.78
66,974462757.85,1.73,11.72,218.16,2746.41,23375.73,488388.29
67,987787384.48,1.76,11.88,221.14,2783.96,23695.37,495066.43
68,1002527503,1.78,12.05,224.44,2825.51,24048.96,502453.99
69,1015093109,1.81,12.2,227.25,2860.92,24350.39,508751.71
70,1026857476.66,1.83,12.35,229.88,2894.08,24632.6,514647.86
71,1039000233.2,1.85,12.49,232.6,2928.3,24923.88,520733.65
72,1053559291.56,1.87,12.67,235.86,2969.33,25273.13,528030.47
73,1067093304.82,1.9,12.83,238.89,3007.48,25597.79,534813.54
74,1080722663.05,1.92,12.99,241.94,3045.89,25924.73,541644.4
75,1095678405.73,1.95,13.17,245.29,3088.04,26283.49,549140.03
76,1108196632.13,1.97,13.32,248.09,3123.32,26583.79,555414
77,1121574412.95,1.99,13.48,251.09,3161.03,26904.7,562118.78
78,1136010021.64,2.02,13.66,254.32,3201.71,27250.98,569353.72
79,1149391800.38,2.04,13.82,257.32,3239.43,27571.99,576060.5
80,1162047468.63,2.07,13.97,260.15,3275.09,27875.58,582403.36
81,1175178033.45,2.09,14.13,263.09,3312.1,28190.56,588984.23
82,1187994358.98,2.11,14.28,265.96,3348.22,28498,595407.61
83,1200660572.53,2.14,14.44,268.79,3383.92,28801.84,601755.75
84,1211172105.03,2.15,14.56,271.15,3413.55,29054,607024
85,1225710040.31,2.18,14.74,274.4,3454.52,29402.74,614310.22
86,1236984624.83,2.2,14.87,276.93,3486.3,29673.19,619960.9
87,1249555462.2,2.22,15.02,279.74,3521.73,29974.75,626261.25
88,1263197597.04,2.25,15.19,282.79,3560.17,30302,633098.51
89,1276028359.3,2.27,15.34,285.67,3596.34,30609.79,639529.12
90,1287902835.66,2.29,15.48,288.33,3629.8,30894.64,645480.46
91,1302346379.75,2.32,15.66,291.56,3670.51,31241.11,652719.38
92,1312793581.18,2.33,15.78,293.9,3699.96,31491.72,657955.38
93,1325904620.88,2.36,15.94,296.83,3736.91,31806.24,664526.47
94,1336413921.08,2.38,16.07,299.19,3766.53,32058.34,669793.6
95,1351114735.87,2.4,16.24,302.48,3807.96,32410.99,677161.46
96,1361833818.16,2.42,16.37,304.88,3838.17,32668.12,682533.72
97,1374505731.04,2.44,16.53,307.71,3873.88,32972.1,688884.72
98,1386326561.83,2.47,16.67,310.36,3907.2,33255.66,694809.17
99,1398482281.25,2.49,16.81,313.08,3941.46,33547.25,700901.47
100,1408179225.38,2.5,16.93,315.25,3968.79,33779.87,705761.45
101,1421229795.22,2.53,17.09,318.17,4005.57,34092.93,712302.23
102,1431460458.23,2.55,17.21,320.46,4034.4,34338.34,717429.71
103,1442766929.38,2.57,17.35,323,4066.27,34609.57,723096.37
104,1453907958.45,2.59,17.48,325.49,4097.67,34876.82,728680.11
105,1467866967.39,2.61,17.65,328.61,4137.01,35211.68,735676.18
106,1478177542.3,2.63,17.77,330.92,4166.07,35459.01,740843.71
107,1489193780,2.65,17.9,333.39,4197.12,35723.27,746364.91
108,1502521518.47,2.67,18.06,336.37,4234.68,36042.98,753044.6
109,1514112609.33,2.69,18.2,338.97,4267.35,36321.03,758853.91
110,1524828797.03,2.71,18.33,341.37,4297.55,36578.1,764224.73
111,1537762861.57,2.73,18.49,344.26,4334,36888.36,770707.11
112,1548500327.65,2.75,18.62,346.67,4364.27,37145.94,776088.6
113,1559421406.16,2.77,18.75,349.11,4395.05,37407.91,781562.1
114,1571022677.57,2.79,18.89,351.71,4427.74,37686.21,787376.51
