Ledurrents,rstarPerSecond,ndf2,ndf3,ndf4,ndf5,ndf6
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,85685.8,0.02,0,0,2.06,2.06
7,120622.06,0.03,0,0,2.89,2.89
8,13392726.67,3,0.16,0.02,321.27,321.27
9,31800462.77,7.12,0.38,0.06,762.84,762.84
10,49456149.7,11.07,0.59,0.09,1186.37,1186.37
11,64818914.2,14.51,0.78,0.12,1554.9,1554.9
12,81272057.99,18.19,0.98,0.14,1949.58,1949.58
13,101684032.66,22.76,1.22,0.18,2439.23,2439.23
14,121902938.49,27.29,1.47,0.22,2924.25,2924.25
15,142423399.48,31.88,1.71,0.25,3416.5,3416.5
16,164150081.09,36.75,1.97,0.29,3937.69,3937.69
17,180099407.14,40.32,2.17,0.32,4320.28,4320.28
18,190302636.34,42.6,2.29,0.34,4565.04,4565.04
19,208017163.35,46.57,2.5,0.37,4989.98,4989.98
20,224703828.52,50.3,2.7,0.4,5390.27,5390.27
21,241202941.1,54,2.9,0.43,5786.06,5786.06
22,260653249,58.35,3.13,0.46,6252.64,6252.64
23,278687718.67,62.39,3.35,0.5,6685.25,6685.25
24,295357835.07,66.12,3.55,0.53,7085.14,7085.14
25,303075072.95,67.85,3.64,0.54,7270.26,7270.26
26,324577426.83,72.66,3.9,0.58,7786.07,7786.07
27,344665781.49,77.16,4.14,0.61,8267.96,8267.96
28,361870974.42,81.01,4.35,0.64,8680.68,8680.68
29,380400068.01,85.16,4.57,0.68,9125.16,9125.16
30,396535108.06,88.77,4.77,0.71,9512.21,9512.21
31,413552748.25,92.58,4.97,0.74,9920.44,9920.44
32,416590365.05,93.26,5.01,0.74,9993.31,9993.31
33,434442798.3,97.26,5.22,0.77,10421.56,10421.56
34,450004147.77,100.74,5.41,0.8,10794.85,10794.85
35,465229005.9,104.15,5.59,0.83,11160.07,11160.07
36,482767012.82,108.08,5.8,0.86,11580.77,11580.77
37,499394838.11,111.8,6,0.89,11979.65,11979.65
38,518058160.59,115.98,6.23,0.92,12427.35,12427.35
39,518390974.58,116.05,6.23,0.92,12435.33,12435.33
40,536706773.06,120.15,6.45,0.95,12874.7,12874.7
41,554566561.32,124.15,6.67,0.99,13303.13,13303.13
42,571352519.04,127.91,6.87,1.02,13705.79,13705.79
43,588199155.62,131.68,7.07,1.05,14109.91,14109.91
44,604597136.98,135.35,7.27,1.08,14503.28,14503.28
45,623091294.37,139.49,7.49,1.11,14946.92,14946.92
46,616949866.03,138.12,7.42,1.1,14799.6,14799.6
47,631032859.77,141.27,7.59,1.12,15137.42,15137.42
48,647053897.12,144.86,7.78,1.15,15521.74,15521.74
49,667304061.56,149.39,8.02,1.19,16007.51,16007.51
50,685702603.91,153.51,8.24,1.22,16448.86,16448.86
51,702234814.15,157.21,8.44,1.25,16845.44,16845.44
52,721442406.9,161.51,8.67,1.28,17306.2,17306.2
53,712368170.64,159.48,8.56,1.27,17088.52,17088.52
54,730077181.47,163.44,8.78,1.3,17513.33,17513.33
55,748523531.49,167.57,9,1.33,17955.83,17955.83
56,764417694.95,171.13,9.19,1.36,18337.1,18337.1
57,777465472,174.05,9.35,1.38,18650.1,18650.1
58,794595276.07,177.89,9.55,1.41,19061.01,19061.01
59,813812062.64,182.19,9.78,1.45,19521.99,19521.99
60,799890878.98,179.07,9.62,1.42,19188.05,19188.05
61,815303289.56,182.52,9.8,1.45,19557.76,19557.76
62,833891223.17,186.68,10.03,1.48,20003.66,20003.66
63,848763041.13,190.01,10.2,1.51,20360.41,20360.41
64,866461019.6,193.98,10.42,1.54,20784.95,20784.95
65,887437490.57,198.67,10.67,1.58,21288.14,21288.14
66,903699404.51,202.31,10.86,1.61,21678.24,21678.24
67,886448242.73,198.45,10.66,1.58,21264.41,21264.41
68,904298837.16,202.45,10.87,1.61,21692.62,21692.62
69,921209829.95,206.23,11.08,1.64,22098.28,22098.28
70,940285032.63,210.5,11.3,1.67,22555.87,22555.87
71,957321060.48,214.32,11.51,1.7,22964.53,22964.53
72,974312958.6,218.12,11.71,1.73,23372.14,23372.14
73,990562000.76,221.76,11.91,1.76,23761.93,23761.93
74,970984819.3,217.38,11.67,1.73,23292.3,23292.3
75,991045592.47,221.87,11.91,1.76,23773.53,23773.53
76,1005027454.98,225,12.08,1.79,24108.93,24108.93
77,1021366596.02,228.66,12.28,1.82,24500.88,24500.88
78,1039507713.24,232.72,12.5,1.85,24936.05,24936.05
79,1055859725.75,236.38,12.69,1.88,25328.31,25328.31
80,1074004520.61,240.44,12.91,1.91,25763.57,25763.57
81,1053649547.3,235.88,12.67,1.87,25275.29,25275.29
82,1071603111.78,239.9,12.88,1.91,25705.97,25705.97
83,1086901519.94,243.33,13.07,1.93,26072.95,26072.95
84,1105125381.03,247.41,13.29,1.97,26510.11,26510.11
