Ledurrents,rstarPerSecond,ndf_2_4,ndf_3_4,ndf_4_4,ndf_4
10,45633729.15,10.22,0.55,0.08,1094.68
11,60543181.66,13.55,0.73,0.11,1452.33
12,74939643.08,16.78,0.9,0.13,1797.68
13,93458121.07,20.92,1.12,0.17,2241.9
14,108819415,24.36,1.31,0.19,2610.4
15,123870815.13,27.73,1.49,0.22,2971.45
16,141356175.5,31.65,1.7,0.25,3390.9
17,157774083.54,35.32,1.9,0.28,3784.74
18,173288382.8,38.79,2.08,0.31,4156.9
19,191655130.16,42.91,2.3,0.34,4597.49
20,206276791.19,46.18,2.48,0.37,4948.24
21,221020846.95,49.48,2.66,0.39,5301.92
22,239371658.48,53.59,2.88,0.43,5742.13
23,255434890.64,57.18,3.07,0.45,6127.46
24,271024588.13,60.67,3.26,0.48,6501.43
25,286773200.6,64.2,3.45,0.51,6879.21
26,305654314.97,68.43,3.67,0.54,7332.14
27,322609380.99,72.22,3.88,0.57,7738.86
28,337927110.95,75.65,4.06,0.6,8106.31
29,355642275.6,79.62,4.28,0.63,8531.26
30,371637560.06,83.2,4.47,0.66,8914.96
31,386437182.18,86.51,4.65,0.69,9269.98
32,403673931.26,90.37,4.85,0.72,9683.46
33,418551771.76,93.7,5.03,0.74,10040.36
34,433377966.23,97.02,5.21,0.77,10396.01
35,448117517.41,100.32,5.39,0.8,10749.59
36,464419064.44,103.97,5.58,0.83,11140.64
37,479568433.37,107.36,5.77,0.85,11504.05
38,493778630.19,110.54,5.94,0.88,11844.92
39,509772885.36,114.12,6.13,0.91,12228.6
40,523943880.15,117.3,6.3,0.93,12568.54
41,538786556.22,120.62,6.48,0.96,12924.59
42,554526824.1,124.14,6.67,0.99,13302.17
43,568761473.94,127.33,6.84,1.01,13643.64
44,583156015.57,130.55,7.01,1.04,13988.94
45,599411676.09,134.19,7.21,1.07,14378.88
46,612697650.07,137.17,7.37,1.09,14697.59
47,626019124.35,140.15,7.53,1.11,15017.15
48,640361543.78,143.36,7.7,1.14,15361.2
49,656409246.68,146.95,7.89,1.17,15746.16
50,669946273.18,149.98,8.05,1.19,16070.89
51,683093523.39,152.93,8.21,1.21,16386.27
52,698482788.29,156.37,8.4,1.24,16755.44
53,713051983.75,159.63,8.57,1.27,17104.93
54,725918776.27,162.51,8.73,1.29,17413.58
55,740882135.59,165.86,8.91,1.32,17772.52
56,754699380.38,168.96,9.07,1.34,18103.98
57,766895852.35,171.69,9.22,1.36,18396.55
58,779873632.44,174.59,9.38,1.39,18707.87
59,794666348.14,177.9,9.55,1.41,19062.72
60,807866025.92,180.86,9.71,1.44,19379.36
61,821445032.5,183.9,9.88,1.46,19705.09
62,835361504.1,187.01,10.04,1.49,20038.93
63,847413341.27,189.71,10.19,1.51,20328.03
64,860133020.83,192.56,10.34,1.53,20633.15
65,875025200.13,195.89,10.52,1.56,20990.39
66,887608091.15,198.71,10.67,1.58,21292.24
67,900021020.75,201.49,10.82,1.6,21590
68,914201763.62,204.66,10.99,1.63,21930.17
69,927041496.66,207.54,11.15,1.65,22238.18
70,938861842.17,210.18,11.29,1.67,22521.73
71,950523830.3,212.8,11.43,1.69,22801.48
72,964720056.79,215.97,11.6,1.72,23142.02
73,976499613.19,218.61,11.74,1.74,23424.59
74,989012653.36,221.41,11.89,1.76,23724.76
75,1002662782.59,224.47,12.05,1.78,24052.2
76,1014255610.41,227.06,12.19,1.8,24330.3
77,1026562180.18,229.82,12.34,1.83,24625.51
78,1040339809.87,232.9,12.51,1.85,24956.01
79,1052374920.31,235.6,12.65,1.87,25244.72
80,1063529916.45,238.09,12.79,1.89,25512.31
81,1075799007.15,240.84,12.93,1.91,25806.62
82,1089062759.05,243.81,13.09,1.94,26124.8
83,1100563234.92,246.39,13.23,1.96,26400.67
84,1111755555.76,248.89,13.37,1.98,26669.16
85,1124864812.38,251.83,13.52,2,26983.63
86,1137062155.6,254.56,13.67,2.02,27276.22
87,1148137321.76,257.04,13.8,2.04,27541.9
88,1161161688.03,259.95,13.96,2.06,27854.33
89,1172418823.85,262.47,14.1,2.08,28124.37
90,1183795912.75,265.02,14.23,2.11,28397.29
91,1197136491.52,268.01,14.39,2.13,28717.3
92,1207741140.53,270.38,14.52,2.15,28971.69
93,1219195837.84,272.94,14.66,2.17,29246.47
94,1230385892.53,275.45,14.79,2.19,29514.9
95,1243172419.58,278.31,14.95,2.21,29821.63
96,1253807835.79,280.69,15.07,2.23,30076.76
97,1264099940.36,283,15.2,2.25,30323.65
98,1276666159.67,285.81,15.35,2.27,30625.09
99,1287207423,288.17,15.48,2.29,30877.96
100,1297664674.02,290.51,15.6,2.31,31128.81
101,1310266502.12,293.33,15.75,2.33,31431.1
102,1321057041.82,295.75,15.88,2.35,31689.95
103,1332083234.13,298.22,16.02,2.37,31954.45
