Ledurrents,rstarPerSecond,ndf2,ndf3,ndf4,ndf5,ndf6
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,501051.13,131.79,5.75,0.2,0.02,0
7,2266529.52,596.16,26.02,0.9,0.07,0
8,4367100.56,1148.66,50.14,1.74,0.14,0.01
9,6961221.49,1830.99,79.93,2.77,0.23,0.01
10,9063599.4,2383.97,104.06,3.61,0.29,0.01
11,11137395.89,2929.43,127.87,4.43,0.36,0.01
12,13258992.36,3487.47,152.23,5.28,0.43,0.02
13,15434411.72,4059.66,177.21,6.14,0.5,0.02
14,17408611.22,4578.93,199.88,6.93,0.56,0.02
15,19354284.04,5090.7,222.22,7.71,0.63,0.03
20,29371473.93,7725.48,337.23,11.69,0.95,0.04
30,48284005.09,12699.99,554.37,19.22,1.56,0.06
40,65327628.12,17182.92,750.06,26.01,2.11,0.09
50,81487690.66,21433.45,935.6,32.44,2.64,0.11
60,96239871.23,25313.67,1104.98,38.31,3.11,0.13
70,110824833.95,29149.9,1272.44,44.12,3.59,0.15
80,124685350.49,32795.59,1431.58,49.64,4.03,0.16
90,138307797.93,36378.66,1587.99,55.06,4.48,0.18
100,151215326.34,39773.68,1736.18,60.2,4.89,0.2
120,175843432.23,46251.54,2018.95,70,5.69,0.23
140,198757090.16,52278.44,2282.04,79.13,6.43,0.26
160,220208605.28,57920.76,2528.33,87.67,7.13,0.29
180,239717787.55,63052.2,2752.33,95.43,7.76,0.32
200,257631830.19,67764.08,2958.01,102.57,8.34,0.34
220,273652544.53,71977.95,3141.95,108.94,8.86,0.36
240,287929025,75733.05,3305.87,114.63,9.32,0.38
255,297094575.78,78143.84,3411.1,118.28,9.61,0.39
