Ledurrents,rstarPerSecond,ndf2,ndf3,ndf4,ndf5,ndf6
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,75468.71,19.85,0.87,0.03,0,0
7,106239.21,27.94,1.22,0.04,0,0
8,11795791.92,3102.61,135.43,4.7,0.38,0.02
9,28008608.79,7367.01,321.58,11.15,0.91,0.04
10,43559050.05,11457.2,500.12,17.34,1.41,0.06
11,57089974.54,15016.19,655.48,22.73,1.85,0.08
12,71581262.65,18827.79,821.86,28.5,2.32,0.09
13,89559334.77,23556.51,1028.28,35.65,2.9,0.12
14,107367359.38,28240.49,1232.74,42.74,3.47,0.14
15,125440982.02,32994.34,1440.26,49.94,4.06,0.17
16,144576996.8,38027.62,1659.97,57.56,4.68,0.19
17,158624541.86,41722.51,1821.25,63.15,5.13,0.21
18,167611148.67,44086.22,1924.43,66.73,5.42,0.22
19,183213413.97,48190.04,2103.57,72.94,5.93,0.24
20,197910378.61,52055.73,2272.32,78.79,6.4,0.26
21,212442154.23,55877.98,2439.16,84.57,6.87,0.28
22,229573227.72,60383.91,2635.85,91.39,7.43,0.3
23,245457286.06,64561.84,2818.23,97.72,7.94,0.32
24,260139675.18,68423.71,2986.8,103.56,8.42,0.34
25,266936717.68,70211.51,3064.84,106.27,8.64,0.35
26,285875153.33,75192.83,3282.29,113.81,9.25,0.38
27,303568193.55,79846.57,3485.43,120.85,9.82,0.4
28,318721857.24,83832.39,3659.42,126.89,10.31,0.42
29,335041561.05,88124.91,3846.79,133.38,10.84,0.44
30,349252675.77,91862.81,4009.96,139.04,11.3,0.46
31,364241150.32,95805.18,4182.05,145.01,11.79,0.48
32,366916564.86,96508.89,4212.77,146.07,11.87,0.48
33,382640292.61,100644.65,4393.3,152.33,12.38,0.5
34,396346123.02,104249.65,4550.66,157.79,12.83,0.52
35,409755584.96,107776.7,4704.62,163.13,13.26,0.54
36,425202378.24,111839.62,4881.98,169.28,13.76,0.56
37,439847519.01,115691.69,5050.13,175.11,14.23,0.58
38,456285446.4,120015.3,5238.86,181.65,14.77,0.6
39,456578576,120092.4,5242.22,181.77,14.77,0.6
40,472710417.79,124335.51,5427.44,188.19,15.3,0.62
41,488440623.54,128472.97,5608.05,194.45,15.81,0.64
42,503225041.19,132361.67,5777.8,200.34,16.28,0.66
43,518062902.41,136264.43,5948.16,206.24,16.76,0.68
44,532505605.59,140063.24,6113.98,211.99,17.23,0.7
45,548794538.97,144347.67,6301,218.48,17.76,0.72
46,543385408.13,142924.92,6238.9,216.33,17.58,0.72
47,555789160.4,146187.44,6381.31,221.26,17.98,0.73
48,569899865.98,149898.94,6543.33,226.88,18.44,0.75
49,587735421.96,154590.17,6748.11,233.98,19.02,0.77
50,603940141.32,158852.44,6934.16,240.43,19.54,0.8
51,618501068.08,162682.36,7101.34,246.23,20.01,0.82
52,635418367.52,167132.06,7295.58,252.96,20.56,0.84
53,627426133.72,165029.89,7203.82,249.78,20.3,0.83
54,643023540.59,169132.42,7382.9,255.99,20.81,0.85
55,659270367.09,173405.77,7569.44,262.46,21.33,0.87
56,673269327.09,177087.88,7730.17,268.03,21.79,0.89
57,684761300.83,180110.57,7862.11,272.61,22.16,0.9
58,699848564.95,184078.93,8035.34,278.61,22.65,0.92
59,716773961.95,188530.76,8229.67,285.35,23.19,0.94
60,704512725.7,185305.73,8088.89,280.47,22.8,0.93
61,718087376.53,188876.22,8244.75,285.88,23.24,0.95
62,734458904.35,193182.37,8432.72,292.39,23.77,0.97
63,747557422.25,196627.64,8583.11,297.61,24.19,0.99
64,763145112.25,200727.62,8762.08,303.81,24.69,1.01
65,781620370.73,205587.1,8974.2,311.17,25.29,1.03
66,795943231.02,209354.4,9138.65,316.87,25.76,1.05
67,780749079.76,205357.93,8964.2,310.82,25.26,1.03
68,796471187.95,209493.27,9144.71,317.08,25.77,1.05
69,811365731.61,213410.93,9315.73,323.01,26.26,1.07
70,828166427.04,217829.96,9508.62,329.7,26.8,1.09
71,843171096.72,221776.59,9680.9,335.67,27.28,1.11
72,858136898.64,225713,9852.73,341.63,27.77,1.13
73,872448421.99,229477.32,10017.05,347.33,28.23,1.15
74,855205603.2,224941.99,9819.07,340.46,27.67,1.13
75,872874350.73,229589.35,10021.94,347.5,28.25,1.15
76,885189030.55,232828.44,10163.33,352.4,28.64,1.17
77,899579909.46,236613.62,10328.56,358.13,29.11,1.19
78,915557898.81,240816.26,10512.01,364.49,29.63,1.21
79,929960114.42,244604.43,10677.37,370.22,30.09,1.23
80,945941342.89,248807.92,10860.86,376.59,30.61,1.25
81,928013475.34,244092.41,10655.02,369.45,30.03,1.22
82,943826275.54,248251.6,10836.58,375.74,30.54,1.24
83,957300517.48,251795.69,10991.28,381.11,30.98,1.26
84,973351384.4,256017.5,11175.57,387.5,31.5,1.28
