Ledurrents,rstarPerSecond,ndf2,ndf3,ndf4,ndf5,ndf6
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,4970569.25,1307.39,57.07,1.98,0.16,0.01
7,22484615.24,5914.06,258.16,8.95,0.73,0.03
8,43322875.39,11395.08,497.41,17.25,1.4,0.06
9,69057290.2,18163.92,792.88,27.49,2.23,0.09
10,89913475.04,23649.65,1032.34,35.8,2.91,0.12
11,110486124,29060.81,1268.55,43.99,3.58,0.15
12,131532962.28,34596.69,1510.2,52.36,4.26,0.17
13,153113738.93,40273.02,1757.98,60.96,4.95,0.2
14,172698357.51,45424.3,1982.84,68.75,5.59,0.23
15,191999983.39,50501.14,2204.45,76.44,6.21,0.25
20,291373346.31,76639,3345.41,116,9.43,0.38
30,478991015.95,125987.47,5499.55,190.69,15.5,0.63
40,648068587.15,170459.41,7440.82,258,20.97,0.85
50,808380987.92,212625.86,9281.46,321.82,26.16,1.07
60,954726800.5,251118.73,10961.73,380.08,30.89,1.26
70,1099413764.65,289175.28,12622.96,437.68,35.58,1.45
80,1236914017.29,325341.53,14201.67,492.42,40.03,1.63
90,1372052556.97,360886.59,15753.27,546.22,44.4,1.81
100,1500098897.22,394566.21,17223.44,597.2,48.54,1.98
120,1744416688.18,458828.34,20028.58,694.46,56.45,2.3
140,1971726669.41,518616.95,22638.45,784.96,63.8,2.6
160,2184531779.6,574590.4,25081.78,869.68,70.69,2.88
180,2378068397.27,625495.72,27303.88,946.73,76.95,3.13
200,2555780777.83,672238.84,29344.29,1017.47,82.7,3.37
220,2714710804.86,714041.69,31169.05,1080.75,87.85,3.58
240,2856337537.63,751293.32,32795.14,1137.13,92.43,3.77
255,2947262399.2,775209,33839.1,1173.33,95.37,3.89
